"calender","description","monday","tuesday","wednesday","thursday","friday","saturday","sunday","total","day_overtime","week_overtime","overtime"
"0","standard ","8","8","8","8","8","","","40","2","15","38%"
"1","standard 2","8","8","8","8","8","","","40","2","15","38%"
"2","2 shifts","16","16","16","16","16","","","80","2","15","19%"
"3","3 shifts","22.5","22.5","22.5","22.5","22.5","","3","115.5","","5","4%"
"4","series processing","6","6","6","6","6","16","16","62","","","0%"
"5","extended workbench","8","8","8","8","8","","","40","","",""
"6","dummy network","8","8","8","8","8","","","40","2","15","38%"
"7","24/7","24","24","24","24","24","24","24","168","","",""
"8","3 shifts 5 days + 2 shifts 2 days","22.5","22.5","22.5","22.5","22.5","16","16","144.5","","",""
"9","3 shifts 6 days + 1 half day","22.5","22.5","22.5","22.5","22.5","22.5","3","138","","",""
