to_char, description, time_measured, time_planned, delay
2018-01-01, ABSÄGEN OPTIMO, 1161360.000, 89154.000, 298.06000000000000006668
2018-01-01, ANREISSPLATZ M./M., 133740.000, 25740.000, 30.00000000000000000000
2018-01-01, BAZ-MA-400HA, 49680.000, 15120.000, 9.6000000000000000
2018-01-01, BOHRWERK SCHARMANN, 75600.000, 52200.000, 6.50000000000000000000
2018-01-01, CNC-VERT.-DREHEN DS, 831600.000, 237600.000, 165.0000000000000000
2018-01-01, DBAZ MCT 350-2000, 892440.000, 179640.000, 198.00000000000000000000
2018-01-01, DBAZ MCT 550-2000, 3135240.000, 196920.000, 816.2000000000000000
2018-01-01, DBAZ MCT 550-3000, 423720.000, 43560.000, 105.60000000000000000000
2018-01-01, DBAZ MCT 550-RS, 254340.000, 80820.000, 48.7000000000000000
2018-01-01, DBAZ MULTUS B200, 4056300.000, 122940.000, 1092.6000000000000000
2018-01-01, DBAZ MULTUS B400, 1015740.000, 59580.000, 265.60000000000000000000
2018-01-01, DRUCKPR. KLEINTEILE, 93240.000, 32760.000, 16.8000000000000000
2018-01-01, DRUCKPRÜFUNG ROHRL., 11820.000, 4230.000, 2.1000000000000000
2018-01-01, FABR. KONTROLLE, 2225400.000, 234396.000, 553.05666666666666666667
2018-01-01, FL.-/DRUCKFLIESSLÄP, 317940.000, 23724.000, 81.7266666666666667
2018-01-01, KK-KÖRPER/KK-SCHUH, 29700.000, 8100.000, 6.0000000000000000
2018-01-01, KONTR. GROSSTEILE, 72000.000, 43200.000, 8.0000000000000000
2018-01-01, KONTR. HD-HYPER T., 496260.000, 65700.000, 119.60000000000000000000
2018-01-01, MALER KLEIN, 310320.000, 138600.000, 47.70000000000000000000
2018-01-01, MALER KOMPR., 2700.000, 1620.000, 0.30000000000000000000
2018-01-01, MESSMASCHINE GROSS, 119340.000, 65340.000, 15.0000000000000000
2018-01-01, MESSMASCHINE KLEIN, 176580.000, 34740.000, 39.40000000000000000000
2018-01-01, MONT.BG GROSS/KLEIN, 201960.000, 122760.000, 22.00000000000000000000
2018-01-01, MONTAGE SCHUBST.-KK, 68400.000, 17280.000, 14.2000000000000000
2018-01-01, OELABSTR. LAEPPEN, 540900.000, 11700.000, 147.0000000000000000
2018-01-01, RAD.-SCHLEIFMASCH., 1077900.000, 69660.000, 280.06666666666666666667
2018-01-01, RADIALBOHRMASCHINEN, 460260.000, 80820.000, 105.40000000000000000000
2018-01-01, ROHRSCHLOSSER, 259200.000, 129600.000, 36.0000000000000000
2018-01-01, ROHRSCHLOSSER PL1/3, 52200.000, 36000.000, 4.50000000000000000000
2018-01-01, SCHLEIFEN, GRATEN, VERPUTZEN, 649080.000, 118260.000, 147.45000000000000000000
2018-01-01, SCHLOSSER VERP. GTF, 337500.000, 143100.000, 54.0000000000000000
2018-01-01, SERVICE UND MONTAGE, 23940.000, 3780.000, 5.60000000000000000000
2018-01-01, STELLZYLINDER MONT., 94860.000, 34740.000, 16.70000000000000000000
2018-01-01, WASCHANLAGE RECHTS, 72000.000, 21600.000, 14.0000000000000000
2018-01-01, ZELLE FRÄSEN/BOHREN, 19440.000, 13680.000, 1.60000000000000000000
2018-01-08, ABSÄGEN OPTIMO, 1675320.000, 85032.000, 441.92999999999999996666
2018-01-08, ANREISSPLATZ M./M., 204300.000, 116460.000, 24.40000000000000000000
2018-01-08, BAZ ECOFORCE, 403200.000, 259200.000, 40.0000000000000000
