"material","description","product_hierarchy","division","gpr","basic_material","dimensions","min_lot","weight_net","weight_net_unit","weight_gross","weight_gross_unit"
"000.034.008.322","SCHALTBUEGEL!","0001-1000","01","K600","EN-GJL-150","","2.000","22.500","KG","22.500","KG"
"000.230.280.501","STOPFBUECHSKAMMER!D110/68X42","0001-1000","01","K211","X12CRS13/V+S","D110/68X42","6.000","1.237","KG","1.237","KG"
"000.230.282.502","KOLBENMUTTER!D79X40","0001-1000","01","K131","C45E","D79X40","4.000","0.920","KG","0.920","KG"
"000.230.283.602","MUTTER!SW60X71","0001-1000","01","K131","C45E","SW60X71","4.000","0.900","KG","0.900","KG"
"000.230.286.301","KOLBENST MUTTER!D108X58","0001-1000","01","K131","C45E","D108X58","4.000","1.500","KG","1.500","KG"
"000.230.286.401","KOLBENST MUTTER!D98X52","0001-1000","","K131","C45E","D98X52","3.000","1.320","KG","1.320","KG"
"000.230.316.202","STOPFB DECKEL!D185/68X46","0001-1000","","K212","X12CRS13/V+S","D185/68X46","2.000","5.000","KG","5.000","KG"
"000.230.319.321","K-MANTEL!D210X150","0001-1200","01","K411","G-CUSN10","D210X150","","7.720","KG","7.720","KG"
"000.230.319.323","K-MANTEL!D210X150","0001-1200","01","K411","EN-GJL-200","D210X150","","6.400","KG","6.400","KG"
"000.230.319.324","K-MANTEL!D210X150","0001-1000","01","K411","EN-GJL-200","D210X150","3.000","6.400","KG","6.400","KG"
"000.230.319.621","K-MANTEL!D440X150","0001-1000","01","K411","G-CUSN10","D440X150","","16.100","KG","16.100","KG"
"000.230.319.671","K-MANTEL!D441X150 UM","0001-1000","01","K411","G-CU SN 10","D441X150","","16.100","KG","16.100","KG"
"000.230.322.801","LATERNE DV-176!D191/122X162,5","0001-1000","01","K361","EN-GJL-200","DV D191/122X162,5","","5.450","KG","5.450","KG"
"000.230.322.821","LATERNE SV-176!D191/122X156,5","0001-1000","01","K361","EN-GJL-200","D191/122X156,5","","5.250","KG","5.250","KG"
"000.600.042.721","LATERNE SV-196!D211/142X193,5","0001-1000","01","K361","EN-GJL-200","D211/142X193,5","","10.718","KG","10.718","KG"
"000.600.042.722","LATERNE DV-196!D211/142X197,5","0001-1000","01","K361","EN-GJL-200","D211/142X197,5","","10.800","KG","10.800","KG"
"000.600.047.705","DECKEL GESTELL!138X138X40","0001-1000","01","K191.1","EN-GJL-250","138X138X40","","2.500","KG","2.500","KG"
"000.600.050.701","HANDGRIFF!L=110","0001-1200","01","K490","EN-GJL-150","L=110","70.000","0.230","KG","0.230","KG"
"000.600.055.032.2","LAGERSCHILD!PS D328X89","0001-1000","","K101.2","EN-GJL-200","PS D328X89","","26.100","KG","26.100","KG"
"000.600.055.203","DECKEL L-SCHILD!D328/88X63","0001-1200","01","K101.2","EN-GJS-400-15","D328/88X63","3.000","13.806","KG","13.806","KG"
"000.600.056.522","DECKEL KURBELGEH!205X205X50","0001-1200","01","K191.1","EN-GJL-250","205X205X50","100.000","6.850","KG","6.850","KG"
"000.600.056.522.P","DECKEL KURBELGEH CSS!205X205X50","0001-1000","01","K600","EN-GJL-250","205X205X50","","6.850","KG","6.850","KG"
"000.600.056.523.2","GESTELLDECKEL!205X205X50","0001-1200","01","K191.1","EN-GJS-400-18-LT","205X205X50","2.000","6.850","KG","6.850","KG"
