"order_id","material","material_description","amount","start","end"
"1213183","122.865.508.001","DUESE SO-D18/0,8!","3.000","","5/28/2018"
"1216290","122.GRA.VIE.REN.Z","ZYLINDERSCHILD!GRAVIEREN","5.000","9/20/2014","5/28/2018"
"A00-140","VER.SUC.HE","VERSUCHE","1.000","2/4/2015","5/22/2018"
"1269936","000.600.302.721","K-MANTEL!D345/315X150","6.000","1/10/2017","7/30/2018"
"1270331","123.612.357.200","KURBELTRIEB!5LP250-4B_1","1.000","5/15/2017","2/8/2018"
"1263681","122.846.305.200","KURBELTRIEB MONTAGE!4D375B","1.000","3/16/2017","1/4/2018"
"PL21-568","MAT.AEN.DER.UNG","MATERIALAENDERUNGEN","16.000","6/21/2017","3/8/2018"
"1258840","120.714.328.200","ZYL-BLOCK VORMONTAGE!4D375B-2B_1","1.000","4/28/2017","1/15/2018"
"1258841","120.714.328.200","ZYL-BLOCK VORMONTAGE!4D375B-2B_1","1.000","5/9/2017","1/4/2018"
"1271692","123.605.788.200","KURBELTRIEB!5LP250-5B_1(CLASS)","1.000","7/12/2017","2/8/2018"
"1271728","123.600.934.G81","ANTRIEB!LP250","1.000","10/2/2017","2/8/2018"
"1278311","123.614.091.201","GRUNDPLATTE-GESTELL ABPRESSEN!4D250B","1.000","7/27/2017","1/4/2018"
"PL21-576","MAT.AEN.DER.UNG","MATERIALAENDERUNGEN","6.000","","8/8/2018"
"1276650","120.714.712.200","KURBELTRIEB!2D160","2.000","7/29/2017","1/4/2018"
"1278286","120.714.702.200","ZYL-BLOCK VORMONTAGE!4D250B-3AA_1","1.000","10/3/2017","1/24/2018"
"1278287","120.714.707.200","ZYL-BLOCK VORMONTAGE!4D250B-3AA_1","1.000","9/8/2017","1/25/2018"
"1278430","120.714.449.G81","ANTRIEB!4D250B","1.000","9/8/2017","2/8/2018"
"1278308","123.614.093.201","KURBELTRIEB!4D250B","1.000","8/7/2017","1/24/2018"
"A1277942A","NCR","NON COMFORMITY REPORT","2.000","8/17/2017","6/26/2018"
"1265937","120.714.568.200","ZYL-BLOCK VORMONTAGE AS!4D375B-2A_1","1.000","7/10/2017","1/23/2018"
"A1276495A","NCR","NON COMFORMITY REPORT","2.000","10/3/2017","6/26/2018"
"1278235","120.714.616.199","KOMPRESSOR!4K165-2L_1","1.000","9/19/2017","2/8/2018"
"1281753","123.614.701.200","ZYL-BLOCK VORMONTAGE!4D375B-2B_1","1.000","10/23/2017","3/9/2018"
"1275505","123.605.788.210","KURBELTRIEB!5LP250-5B_1(CLASS)","1.000","8/15/2017","2/1/2018"
"1265951","123.611.852.200","ZYL-BLOCK ABPRESSEN!4D375B-2A_1","1.000","6/14/2017","1/23/2018"
"1285607","123.605.899.G77.2","LOSE TEILE!2K160-2F_1 (NKK)","3.000","10/13/2017","2/15/2018"
"1281492","123.615.082.200","KURBELTRIEB!5LP250-5B_1(CLASS)","1.000","9/12/2017","1/4/2018"
"1285383","120.714.786.200","KOMPRESSOR!4D375B-2B_1","1.000","10/12/2017","1/4/2018"
"1282042","123.614.519.200","ZYL-BLOCK VORMONTAGE!4D375B-3M_1","1.000","11/3/2017","1/17/2018"
"1282044","123.614.658.200","ZYL-BLOCK VORMONTAGE!4D375B-3M_1","1.000","11/3/2017","1/4/2018"
"1285364","120.714.656.200","KOMPRESSOR MIT ROHRL.!4D375B-2B_1","1.000","9/27/2017","1/4/2018"
"1281041","122.844.709.211","KURBELTRIEB MONTAGE!4D375B","1.000","10/20/2017","1/4/2018"
"1281057","120.714.630.G81","ANTRIEB!4D375B","1.000","10/26/2017","1/17/2018"
"1283844","123.609.446.G08.1","ERSATZTEILE!5LP250-5B_1","1.000","11/15/2017","2/1/2018"
"1285390","123.615.318.200","KOMPRESSOR!4D375B-3M_1","1.000","11/3/2017","1/4/2018"
"1277574","123.614.226.200","ZYLINDER ABPRESSEN!NG590A_01","1.000","9/1/2017","1/3/2018"
"1282045","123.614.658.200","ZYL-BLOCK VORMONTAGE!4D375B-3M_1","1.000","11/8/2017","1/19/2018"
"1285391","123.615.318.200","KOMPRESSOR!4D375B-3M_1","1.000","11/8/2017","1/4/2018"
"1281042","122.844.709.211","KURBELTRIEB MONTAGE!4D375B","1.000","10/20/2017","1/22/2018"
"1281058","120.714.630.G81","ANTRIEB!4D375B","1.000","11/1/2017","1/25/2018"
"1277569","123.614.255.200","ZYLINDER!590A_01","1.000","10/12/2017","1/3/2018"
"1277570","123.614.255.200","ZYLINDER!590A_01","1.000","10/12/2017","1/3/2018"
"1285355","123.615.296.200","ZYL-BLOCK VORMONTAGE!4D375B-2B_1","1.000","11/14/2017","1/3/2018"
"1285389","120.714.731.200","KOMPRESSOR MIT ROHRL.!4D375B-3M_1","1.000","11/15/2017","1/4/2018"
"PL21-602","MAT.AEN.DER.UNG","MATERIALAENDERUNGEN","6.000","11/9/2017","4/18/2018"
"1280386","120.714.630.G81","ANTRIEB!4D375B","1.000","11/10/2017","1/3/2018"
"1283796","123.613.798.199","KOMPRESSOR MIT ROHRL.!2B1AC2.59_1","1.000","10/20/2017","1/4/2018"
"1278158","123.614.093.200","KURBELTRIEB!4D250B","1.000","8/7/2017","4/3/2018"
"1285353","120.714.656.199","KOMPRESSOR!4D375B-2B_1","1.000","9/7/2017","1/4/2018"
"1285388","120.714.731.200","KOMPRESSOR MIT ROHRL.!4D375B-3M_1","1.000","11/10/2017","1/4/2018"
"1288009","120.714.796.200","KOMPRESSOR MIT ROHRL.!2K160-1E_1","1.000","11/2/2017","1/4/2018"
"1278397","120.714.708.200","ZYL-BLOCK VORMONTAGE!4D250B-3W_1","1.000","11/24/2017","4/5/2018"
"1277495","120.714.449.G81","ANTRIEB!4D250B","1.000","11/16/2017","2/8/2018"
"1278398","120.714.701.200","ZYL-BLOCK VORMONTAGE!4D250B-3W_1","1.000","11/24/2017","4/13/2018"
"1280779","123.614.299.200","ZYL-BLOCK ABPRESSEN AS!2K250-1C_1","1.000","10/16/2017","1/4/2018"
"1291978","000.630.227.021","ABSTREIFELEMENT LW200!D83/75X12","60.000","12/15/2017","2/13/2018"
"1294692","120.711.844.211","KW-LEITUNG!G1 1/2"" 150LBS SCHED80","2.000","12/19/2017","1/4/2018"
"1283795","123.613.798.199","KOMPRESSOR MIT ROHRL.!2B1AC2.59_1","1.000","11/7/2017","1/4/2018"
"1292994","122.000.004.994.T","ZYL/PLUNGER/KEGEL C1 D5 CSS!D30X54","3.000","12/22/2017","1/12/2018"
"1288283","122.848.407.201","STOPF.LECKG.RUECKFUEHRUNG!2D205","1.000","11/8/2017","1/16/2018"
"1280216","120.714.732.G81","ANTRIEB!2K250","1.000","11/27/2017","1/19/2018"
"1280784","123.614.655.200","ZYL-BLOCK VORMONTAGE AS!2K250-1C_1","1.000","12/11/2017","1/19/2018"
"1280805","123.614.681.200","ZYL-BLOCK VORMONTAGE NAS!2K250-1C_1","1.000","12/11/2017","1/22/2018"
"1282883","120.714.782.200","KOMPRESSOR ZUBEHOER!4D250B-3W_1","1.000","8/8/2017","3/27/2018"
"1284314","122.844.536.201","STOPF.LECKG.RFR.!4D375B","1.000","11/14/2017","1/8/2018"
"1285532","120.714.715.200","KOMPRESSOR MIT ROHRL.!4D375B-2B_1","1.000","11/23/2017","1/4/2018"
"1276517","123.614.235.001","ZYL-BLOCK!1455X1110X1310","1.000","4/13/2017","1/9/2018"
"1280797","123.614.680.200","ZYL-BLOCK ABPRESSEN NAS!2K250-1C_1","1.000","11/17/2017","1/4/2018"
"1285583","122.845.699.205","MONT. KOLBENST. AN KK-KOERPER!4K165","4.000","12/12/2017","1/3/2018"
"A136533A","ABM","ABWEICHUNGSMELDUNG","282.000","6/7/2017","1/4/2018"
"A137684A","ABM","ABWEICHUNGSMELDUNG","1.000","9/12/2017","1/4/2018"
"1278807","120.714.728.200","KURBELTRIEB MONTAGE!2K250","1.000","11/7/2017","1/10/2018"
"1284282","120.713.045.201","ZYL-BLOCK ABPRESSEN!4D375B-3K_1","1.000","11/15/2017","1/4/2018"
"1289770","123.615.974.200","ZYLINDERDECKEL SR-202!D490X120","2.000","11/17/2017","1/9/2018"
"A1281754B","NCR","NON COMFORMITY REPORT","1.000","12/4/2017","3/2/2018"
"PL21-596","MAT.AEN.DER.UNG","MATERIALAENDERUNGEN","1.000","9/27/2017","1/4/2018"
"1277952","122.804.032.200","OELABLAUF VON FUEHRUNGSLAGER!3K140/3K160","3.000","11/13/2017","1/4/2018"
"1280392","122.844.714.202","GRUNDPLATTE-GESTELL  ABPRESSEN!4D375B","1.000","11/29/2017","2/5/2018"
"1288043","120.714.828.200","ZYL-BLOCK ABPRESSEN!2D205-2N_1","1.000","10/27/2017","1/4/2018"
"A00-208","VER.SUC.HE","VERSUCHE","1.000","8/30/2017","1/5/2018"
"V-980-016","VOR.RIC.HTU.NG","VORRICHTUNG-WERKZEUG HERSTELLUNG","2.000","1/13/2017","1/4/2018"
"1278383","120.714.449.G81","ANTRIEB!4D250B","1.000","12/8/2017","2/8/2018"
"1280778","123.614.299.200","ZYL-BLOCK ABPRESSEN AS!2K250-1C_1","1.000","10/16/2017","1/4/2018"
"1281358","123.614.530.199","KOLBEN!D170","1.000","11/22/2017","1/3/2018"
"1284274","120.714.765.200","ZYL-BLOCK ABPRESSEN!4D375B-3K_1","1.000","11/28/2017","1/23/2018"
"1287517","120.714.787.200","ZYL-BLOCK ABPRESSEN!4K165-2N_1","1.000","11/17/2017","1/3/2018"
"A1287823B","NCR","NON COMFORMITY REPORT","1.000","10/31/2017","1/4/2018"
"A137825A","NCR","NON COMFORMITY REPORT","8.000","9/15/2017","1/4/2018"
"A138699A","NCR","NON COMFORMITY REPORT","48.000","11/9/2017","1/4/2018"
"1282657","120.714.627.199","KOMPRESSOR!4D250B-3AA_1","1.000","10/25/2017","1/3/2018"
"1282988","120.714.626.200","KOMPRESSOR MIT ROHRL.!4D250B-3W_1","1.000","11/24/2017","3/27/2018"
"1287994","120.714.796.199","KOMPRESSOR!2K160-1E_1","1.000","10/19/2017","1/9/2018"
"1280965","122.856.648.200","ANTRIEB!D2040X250","1.000","12/8/2017","1/17/2018"
"1282681","120.714.763.200","KOMPRESSOR ZUBEHOER!4D250B-3AA_1","1.000","8/17/2017","1/23/2018"
"1286930","122.221.874.006","VENTILKOPFDICHTUNG D=472 MM!960X590X1,5","1.000","1/4/2018","1/5/2018"
"A138316A","NCR","NON COMFORMITY REPORT","7.000","9/28/2017","1/4/2018"
"A2002053B","ABM","ABWEICHUNGSMELDUNG","1.000","8/7/2017","8/2/2018"
"1286879","123.604.845.200","LECKGAS-RUECKFUEHRUNG!3K160 PSV","3.000","10/6/2017","1/4/2018"
"1287915","123.604.621.200","ZYL-BLOCK ABPRESSEN!3K160-3K_1(CLASS)","3.000","11/3/2017","1/4/2018"
"A1278804A","NCR","NON COMFORMITY REPORT","1.000","11/29/2017","1/15/2018"
"A2001256B","ABM","ABWEICHUNGSMELDUNG","1.000","11/22/2017","6/8/2018"
"A2001256C","ABM","ABWEICHUNGSMELDUNG","1.000","11/23/2017","6/8/2018"
"A2002053C","ABM","ABWEICHUNGSMELDUNG","1.000","8/7/2017","8/2/2018"
"A1285362A","MAT.AEN.DER.UNG","MATERIALAENDERUNGEN","1.000","1/19/2018","1/25/2018"
"PL21-612","MAT.AEN.DER.UNG","MATERIALAENDERUNGEN","1.000","12/12/2017","1/4/2018"
"1281793","120.713.245.201","ZAHNRADOELPUMPE TE!2K250","1.000","12/14/2017","1/8/2018"
"1282981","120.713.102.203","ROHRANSCHLUSS!G1 1/2""-2"" 150LBS SCHED40","1.000","11/9/2017","1/4/2018"
"1283700","122.876.707.200","GESTELL!ZEILE 1541","1.000","11/10/2017","1/4/2018"
"1287468","000.630.165.561","ANTRIEB!2D205/4D225B","1.000","12/7/2017","2/5/2018"
"1287574","120.714.731.G77","LOSE TEILE!4D375B-3M_1","2.000","12/6/2017","1/4/2018"
"1280384","122.844.709.213","KURBELTRIEB MONTAGE!4D375B","1.000","12/4/2017","2/5/2018"
"1284273","120.714.767.200","ZYL-BLOCK VORMONTAGE!4D375B-3K_1","1.000","12/15/2017","2/8/2018"
"1284276","120.713.056.201","ZYL-BLOCK VORMONTAGE!4D375B-3K_1","1.000","12/15/2017","2/7/2018"
"1285362","120.714.731.199","KOMPRESSOR!4D375B-3M_1","1.000","11/20/2017","1/4/2018"
"1287500","123.615.585.200","ZYL-BLOCK ABPRESSEN!4K165-2N_1","1.000","11/30/2017","1/10/2018"
"1288035","120.714.843.200","ZYL-BLOCK VORMONTAGE!2D205-2N_1","1.000","12/19/2017","2/2/2018"
"1288282","120.714.841.200","ZYL-BLOCK VORMONTAGE!2D205-2N_1","1.000","12/19/2017","2/5/2018"
"A1282984A","NCR","NON COMFORMITY REPORT","2.000","12/14/2017","6/5/2018"
"1289075","120.714.799.200","ROHRANSCHLUSS!G1 1/2""-1 1/2"" SCHED80","2.000","11/3/2017","1/24/2018"
"1293045","123.616.280.200","STELLZYLINDER F-E-A-N-M-390","2.000","12/6/2017","1/8/2018"
"1278041","123.604.700.199","KOMPRESSOR NGE ASME RE!2K160-2F_1","4.000","10/25/2017","1/4/2018"
"1280188","120.714.732.G81","ANTRIEB!2K250","1.000","12/20/2017","1/19/2018"
"1283598","123.607.374.200","DISTANZSTUECK DK!BE_01","4.000","11/10/2017","1/16/2018"
"1283992","123.615.129.001","ZYLINDER!1709X665X1385","2.000","11/22/2017","1/4/2018"
"1285099","120.711.389.G81","ANTRIEB!4K165","1.000","12/22/2017","2/15/2018"
"1268607","123.604.322.200","ZYL-BLOCK VORMONTAGE!2K160-2F_1 (CLASS)","4.000","12/4/2017","1/3/2018"
"1281226","120.714.626.G09","VERSCHLEISSTEILE!4D250B-3AA_1","2.000","11/24/2017","1/3/2018"
"1282835","120.712.556.G81","ANTRIEB!3K160","1.000","12/14/2017","1/3/2018"
"1284920","123.615.744.200","ZYLINDER!GEB 285E_01","1.000","12/6/2017","1/19/2018"
"1290447","122.887.433.200","PACKUNGSPATRONE NR.2!D110","1.000","12/18/2017","1/3/2018"
"1290449","122.887.445.200","PACKUNGSPATRONE NR.3!D110","1.000","12/18/2017","1/4/2018"
"1290552","122.000.010.630","KREUZKOPF CS/BS!D240X288","4.000","10/25/2017","1/4/2018"
"1293713","123.617.015.201","DICHTRING KOMPLETT!D104","9.000","1/31/2018","2/1/2018"
"1293714","123.617.015.203","DICHTRING KOMPLETT!D104","9.000","1/31/2018","2/1/2018"
"1282836","123.615.115.200","KURBELTRIEB!3K160","1.000","12/11/2017","1/19/2018"
"1283847","123.615.643.200","ZYLINDER!GEB 390E_01","1.000","12/12/2017","1/24/2018"
"1285363","120.714.731.199","KOMPRESSOR!4D375B-3M_1","1.000","11/16/2017","1/23/2018"
"1288846","120.713.369.204","KW-LEITUNG!UEBERTRITT G2""-G1 1/4""","1.000","11/29/2017","1/15/2018"
"1289847","106.013.874.200.1","SCHLUESSEL!SW165","1.000","12/18/2017","1/5/2018"
"1290346","120.714.493.200","KW-LEITUNG!G1"" 1"" 1/2"" 300LBS SCHED80","4.000","12/7/2017","1/4/2018"
"1292702","122.481.502.003","EINSATZ!G1 1/4X68","12.000","12/18/2017","1/4/2018"
"1274054","123.604.701.200","KOMPRESSOR ASME MAGNET!2K160-2F_1","4.000","12/4/2017","1/3/2018"
"1280554","120.709.056.200","ZYLINDER ABPRESSEN!C3QC-2.35","1.000","10/31/2017","1/5/2018"
"1280774","123.614.655.200","ZYL-BLOCK VORMONTAGE AS!2K250-1C_1","1.000","12/21/2017","1/19/2018"
"1282872","120.713.583.002","ZYLINDERSCHILD EN!148X105X1","4.000","12/8/2017","1/4/2018"
"1283785","123.613.821.198","KOMPRESSOR PROBELAUF!4B3A-2.29_1","1.000","12/8/2017","1/10/2018"
"1284034","120.713.581.003","KOMPRESSORSCHILD EN!148X105X1","1.000","12/8/2017","1/4/2018"
"1285970","122.347.845.001","HALTEBUECHSE!D127X43","12.000","10/5/2017","1/5/2018"
"1288850","120.714.723.200","KOMPRESSOR!4D375B-3K_1","1.000","12/15/2017","1/23/2018"
