"empty","id","description","rate","multipliable","combineable","machines","calender","team_factor","min_lead_time","capacity"
"","1109","LB 4000 MRP","115","no","costly","1","0","1.8","16","100"
"","1110","EXZELSIOR AKRON","115","no","costly","1","0","1.8","16","25"
"","1201","DMU50V","115","no","costly","1","0","1.8","16","50"
"","1401","ACIERA BOHRMASCHINE","90","no","easy","1","0","1.8","8","12.5"
"","1402","BANDSAEGE/KREISSÄGE","90","no","easy","1","0","1.8","8","12.5"
"","1403","GRAVIEREN","90","no","easy","2","0","1.5","8","87.5"
"","1404","SCHLOSSER","90","yes","easy","2","0","1.8","8","87.5"
"","1405","REINIGEN","90","yes","easy","1","0","1.8","8","12.5"
"","1406","RADIALSCHLEIFMASCHINE","90","no","easy","1","0","1.8","16","15"
"","1501","MONTAGE","90","yes","easy","1","0","1.8","8","25"
"","2101","LB 4000","100","no","costly","2","0","1.8","32","50"
"","2201","MORI-SEIKI","100","no","costly","2","0","1.8","24","100"
"","2202","JVC610 SPINNER","100","no","costly","1","0","1.8","24","100"
"","2401","TROWAL","67","no","costly","2","0","1.0","16","100"
"","2402","SCHLOSSER","67","yes","easy","2","0","1.8","24","100"
"","2403","LAEPPEN","115","no","costly","1","0","1.8","24","100"
"","2404","LASER","115","no","costly","1","0","1.8","24","100"
"","2405","BUERSTEN","67","no","costly","1","0","1.8","16","50"
"","2501","MONTAGE","67","yes","easy","2","0","1.8","16","100"
"","2601","DRUCKPROBE SERV","67","no","costly","1","0","3.6","24","40"
"","3401","SCHLOSSER_HP","90","yes","easy","1","0","1.8","8","30"
"","3402","COMPOUND MIXER_HP","120","no","easy","1","0","1.5","8","50"
"","3501","SERVICE UND MONTAGE","100","yes","easy","1","0","1.0","16","50"
"","4101","REP INSPEKTION","90","yes","easy","1","0","1.5","16","35"
"","4103","REP BEARBEITUNG","90","yes","easy","1","0","1.5","16","27.5"
"","4104","REP MONTAGE/VERPACKEN","90","yes","easy","1","0","1.5","16","27.5"
"","5201","MAGAZIN","75","yes","not","1.0","0","1.0","8","100"
"","5301","F-KONTROLLE","100","yes","easy","1.0","0","1.8","8","100"
"","5302","VERPACKEN","75","yes","easy","1.0","0","1.8","8","100"
"","5401","PROGRAMMIERARBEITSPLATZ 1","0","yes","easy","1.0","0","1.8","8","100"
"","5610","AVOR BCA","0","yes","easy","3.0","1","1.0","8","0"
"","5620","ABSÄGEN OPTIMO","100","yes","not","1.0","1","2.0","24","0"
"","5630","AV VERF. / VEREDELN","0","yes","not","0.0","7","1.5","80","0"
"","5631","AV BEL.-AUSGLEICH","0","yes","not","0.0","7","1.5","224","0"
"","5632","AV BEARB. KOPT","0","yes","not","0.0","7","1.5","40","0"
"","5633","AV BEARB/GROSSTEILE","0","yes","not","0.0","7","1.5","40","0"
"","5640","MAT.-PRÜF.QUALITECH","0","yes","not","3.0","0","1.5","24","75"
"","5641","BEIZEN CS DE MARTIN","0","yes","not","1.0","5","1.5","24","0"
"","5642","BEIZEN SS CHEMTECH","0","yes","not","1.0","5","1.5","24","0"
"","5644","GLÜHEN FA.LISTEMANN","0","no","not","1.0","0","1.0","40","100"
"","5646","SCHR/SCHW.-D.LINDER","0","yes","not","2.0","0","1.5","40","100"
"","5648","BEIZEN OBERUZWIL (KREDITOR 101180)","0","yes","not","1.0","5","1.0","32","100"
"","5649","OTW SANDSTRAHLEN","0","no","not","1.0","5","1.5","32","113"
"","5680","MAGAZIN","0","yes","not","0.0","2","1.2","16","100"
"","5681","MAGAZIN EUELWIES","0","yes","costly","0.0","1","1.2","16","100"
"","5682","MAGAZIN PULL","0","yes","costly","0.0","1","1.2","16","100"
"","5683","MAGAZIN AV","0","yes","costly","0.0","1","1.2","16","100"
"","5684","VOKO PL1 OPF","0","yes","costly","0.0","1","1.2","16","100"
"","5685","VOKO PL1 LABY & PL3","0","yes","costly","0.0","1","1.2","16","100"
"","5686","MAGAZIN RÜSTEN DP","0","yes","easy","0.0","1","1.0","8","100"
"","5701","KUNDENABNAHME","0","no","easy","1.0","0","1.8","16","100"
"","5710","ERSATZTEILE RÜSTEN","0","yes","costly","1.0","1","1.0","8","100"
"","5820","BCS SERV. CENTER","100","yes","costly","1.0","0","1.5","24","100"
"","5940","FABR. KONTROLLE","100","yes","easy","1.7","1","1.0","16","85"
"","5941","MESSMASCHINE KLEIN","100","no","not","1.7","1","2.0","24","80"
"","5942","ABL.KONTR. MONTAGE","100","yes","easy","2.0","1","1.0","24","100"
"","5943","MESSMASCHINE GROSS","100","no","not","1.0","1","2.0","24","80"
"","5944","LASER","100","no","easy","0.3","1","2.0","24","80"
"","5945","KONTR. GROSSTEILE","100","yes","easy","1.5","1","1.0","22","85"
"","5946","PLUNGER ENDKONTR.","100","no","costly","0.3","1","1.0","24","80"
"","5947","KONTR. HD-HYPER T.","100","yes","easy","1.0","1","1.0","16","85"
"","5948","ABNAHME DRUCKPRÜF.","100","yes","not","0.7","1","1.0","22","100"
"","6101","DREHEN SYST","100","no","costly","1.0","4","4.0","32","100"
"","6102","FRAESEN SYST","80","no","costly","2.0","4","3.0","40","100"
"","6104","DRUCKPROBE BCS","135","yes","costly","1.0","0","1.0","40","100"
"","6105","DREHEN EINZEL SYST","135","no","costly","1.0","2","4.0","32","38"
"","6106","FERTDREHEN EINZEL SYST","135","no","costly","1.0","1","4.0","40","10"
"","9011","CNC-VERT.-DREHEN DS","275","no","not","1.0","3","1.9","68","95"
"","9031","BAZ ECOFORCE","275","no","not","1.0","3","1.9","72","95"
"","9041","CNC-BAZ DS ALPHA","260","no","not","1.0","3","1.5","72","95"
"","9050","BOHRWERK SCHARMANN","200","no","not","1.0","1","1.8","32","90"
"","9071","CNC-BAZ HEAVYSPEED","330","no","not","1.0","3","1.9","72","95"
"","9080","SCHLOSSER VERP. GTF","90","yes","easy","2.0","1","1.8","24","90"
"","9081","SCHLOSSER VERP. GTF","90","yes","easy","1.0","1","1.5","24","90"
"","9090","RADIALBOHRMASCHINEN","200","no","easy","1.0","1","1.8","32","90"
